+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
, series id , year , period ,  value  ,                                                footnotes                                                ,
+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
,  WPUID54  , 2023 ,  M01   , 147.040 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID54  , 2022 ,  M12   , 145.610 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID54  , 2022 ,  M11   , 146.500 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID54  , 2022 ,  M10   , 145.995 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID54  , 2022 ,  M09   , 146.208 ,                                                                                                         ,
,  WPUID54  , 2022 ,  M08   , 145.896 ,                                                                                                         ,
,  WPUID54  , 2022 ,  M07   , 145.635 ,                                                                                                         ,
,  WPUID54  , 2022 ,  M06   , 146.352 ,                                                                                                         ,
,  WPUID54  , 2022 ,  M05   , 145.546 ,                                                                                                         ,
,  WPUID54  , 2022 ,  M04   , 144.036 ,                                                                                                         ,
,  WPUID54  , 2022 ,  M03   , 142.614 ,                                                                                                         ,
,  WPUID54  , 2022 ,  M02   , 140.776 ,                                                                                                         ,
,  WPUID54  , 2022 ,  M01   , 139.883 ,                                                                                                         ,
,  WPUID54  , 2021 ,  M12   , 137.512 ,                                                                                                         ,
,  WPUID54  , 2021 ,  M11   , 136.700 ,                                                                                                         ,
,  WPUID54  , 2021 ,  M10   , 135.346 ,                                                                                                         ,
,  WPUID54  , 2021 ,  M09   , 134.745 ,                                                                                                         ,
,  WPUID54  , 2021 ,  M08   , 134.387 ,                                                                                                         ,
,  WPUID54  , 2021 ,  M07   , 133.583 ,                                                                                                         ,
,  WPUID54  , 2021 ,  M06   ,  132.3  ,                                                                                                         ,
,  WPUID54  , 2021 ,  M05   ,  130.5  ,                                                                                                         ,
,  WPUID54  , 2021 ,  M04   ,  128.6  ,                                                                                                         ,
