+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
, series id , year , period ,  value  ,                                                footnotes                                                ,
+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
,  WPUID51  , 2023 ,  M01   , 145.974 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID51  , 2022 ,  M12   , 144.978 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID51  , 2022 ,  M11   , 147.796 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID51  , 2022 ,  M10   , 147.975 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID51  , 2022 ,  M09   , 147.768 ,                                                                                                         ,
,  WPUID51  , 2022 ,  M08   , 147.742 ,                                                                                                         ,
,  WPUID51  , 2022 ,  M07   , 149.151 ,                                                                                                         ,
,  WPUID51  , 2022 ,  M06   , 152.079 ,                                                                                                         ,
,  WPUID51  , 2022 ,  M05   , 150.225 ,                                                                                                         ,
,  WPUID51  , 2022 ,  M04   , 147.248 ,                                                                                                         ,
,  WPUID51  , 2022 ,  M03   , 144.947 ,                                                                                                         ,
,  WPUID51  , 2022 ,  M02   , 140.756 ,                                                                                                         ,
,  WPUID51  , 2022 ,  M01   , 139.287 ,                                                                                                         ,
,  WPUID51  , 2021 ,  M12   , 137.407 ,                                                                                                         ,
,  WPUID51  , 2021 ,  M11   , 137.073 ,                                                                                                         ,
,  WPUID51  , 2021 ,  M10   , 135.491 ,                                                                                                         ,
,  WPUID51  , 2021 ,  M09   , 134.062 ,                                                                                                         ,
,  WPUID51  , 2021 ,  M08   , 134.124 ,                                                                                                         ,
,  WPUID51  , 2021 ,  M07   , 133.413 ,                                                                                                         ,
,  WPUID51  , 2021 ,  M06   ,  131.5  ,                                                                                                         ,
,  WPUID51  , 2021 ,  M05   ,  129.3  ,                                                                                                         ,
,  WPUID51  , 2021 ,  M04   ,  125.6  ,                                                                                                         ,
,  WPUID51  , 2021 ,  M03   ,  123.5  ,                                                                                                         ,
,  WPUID51  , 2021 ,  M02   ,  120.6  ,                                                                                                         ,
,  WPUID51  , 2021 ,  M01   ,  118.7  ,                                                                                                         ,
,  WPUID51  , 2020 ,  M12   ,  116.6  ,                                                                                                         ,
,  WPUID51  , 2020 ,  M11   ,  113.6  ,                                                                                                         ,
,  WPUID51  , 2020 ,  M10   ,  112.5  ,                                                                                                         ,
,  WPUID51  , 2020 ,  M09   ,  112.0  ,                                                                                                         ,
,  WPUID51  , 2020 ,  M08   ,  110.8  ,                                                                                                         ,
,  WPUID51  , 2020 ,  M07   ,  109.5  ,                                                                                                         ,
,  WPUID51  , 2020 ,  M06   ,  107.9  ,                                                                                                         ,
,  WPUID51  , 2020 ,  M05   ,  105.6  ,                                                                                                         ,
,  WPUID51  , 2020 ,  M04   ,  106.3  ,                                                                                                         ,
,  WPUID51  , 2020 ,  M03   ,  111.0  ,                                                                                                         ,
,  WPUID51  , 2020 ,  M02   ,  112.4  ,                                                                                                         ,
,  WPUID51  , 2020 ,  M01   ,  113.8  ,                                                                                                         ,
,  WPUID51  , 2019 ,  M12   ,  113.6  ,                                                                                                         ,
,  WPUID51  , 2019 ,  M11   ,  113.1  ,                                                                                                         ,
,  WPUID51  , 2019 ,  M10   ,  113.2  ,                                                                                                         ,
,  WPUID51  , 2019 ,  M09   ,  113.7  ,                                                                                                         ,
,  WPUID51  , 2019 ,  M08   ,  114.2  ,                                                                                                         ,
,  WPUID51  , 2019 ,  M07   ,  114.7  ,                                                                                                         ,
,  WPUID51  , 2019 ,  M06   ,  114.5  ,                                                                                                         ,
,  WPUID51  , 2019 ,  M05   ,  115.6  ,                                                                                                         ,
,  WPUID51  , 2019 ,  M04   ,  116.4  ,                                                                                                         ,
,  WPUID51  , 2019 ,  M03   ,  116.2  ,                                                                                                         ,
,  WPUID51  , 2019 ,  M02   ,  115.1  ,                                                                                                         ,
,  WPUID51  , 2019 ,  M01   ,  114.9  ,                                                                                                         ,
,  WPUID51  , 2018 ,  M12   ,  116.1  ,                                                                                                         ,
,  WPUID51  , 2018 ,  M11   ,  117.7  ,                                                                                                         ,
,  WPUID51  , 2018 ,  M10   ,  118.6  ,                                                                                                         ,
,  WPUID51  , 2018 ,  M09   ,  117.8  ,                                                                                                         ,
,  WPUID51  , 2018 ,  M08   ,  117.8  ,                                                                                                         ,
,  WPUID51  , 2018 ,  M07   ,  118.2  ,                                                                                                         ,
,  WPUID51  , 2018 ,  M06   ,  118.0  ,                                                                                                         ,
,  WPUID51  , 2018 ,  M05   ,  117.0  ,                                                                                                         ,
,  WPUID51  , 2018 ,  M04   ,  115.7  ,                                                                                                         ,
,  WPUID51  , 2018 ,  M03   ,  115.0  ,                                                                                                         ,
,  WPUID51  , 2018 ,  M02   ,  114.7  ,                                                                                                         ,
,  WPUID51  , 2018 ,  M01   ,  114.0  ,                                                                                                         ,
,  WPUID51  , 2017 ,  M12   ,  112.6  ,                                                                                                         ,
,  WPUID51  , 2017 ,  M11   ,  112.3  ,                                                                                                         ,
,  WPUID51  , 2017 ,  M10   ,  111.6  ,                                                                                                         ,
,  WPUID51  , 2017 ,  M09   ,  111.4  ,                                                                                                         ,
,  WPUID51  , 2017 ,  M08   ,  111.1  ,                                                                                                         ,
,  WPUID51  , 2017 ,  M07   ,  110.3  ,                                                                                                         ,
,  WPUID51  , 2017 ,  M06   ,  110.1  ,                                                                                                         ,
,  WPUID51  , 2017 ,  M05   ,  109.5  ,                                                                                                         ,
,  WPUID51  , 2017 ,  M04   ,  109.6  ,                                                                                                         ,
,  WPUID51  , 2017 ,  M03   ,  109.1  ,                                                                                                         ,
,  WPUID51  , 2017 ,  M02   ,  108.7  ,                                                                                                         ,
,  WPUID51  , 2017 ,  M01   ,  107.8  ,                                                                                                         ,
,  WPUID51  , 2016 ,  M12   ,  106.5  ,                                                                                                         ,
,  WPUID51  , 2016 ,  M11   ,  105.2  ,                                                                                                         ,
,  WPUID51  , 2016 ,  M10   ,  104.7  ,                                                                                                         ,
,  WPUID51  , 2016 ,  M09   ,  105.0  ,                                                                                                         ,
,  WPUID51  , 2016 ,  M08   ,  105.0  ,                                                                                                         ,
,  WPUID51  , 2016 ,  M07   ,  105.6  ,                                                                                                         ,
,  WPUID51  , 2016 ,  M06   ,  105.6  ,                                                                                                         ,
,  WPUID51  , 2016 ,  M05   ,  104.3  ,                                                                                                         ,
,  WPUID51  , 2016 ,  M04   ,  103.2  ,                                                                                                         ,
,  WPUID51  , 2016 ,  M03   ,  102.2  ,                                                                                                         ,
,  WPUID51  , 2016 ,  M02   ,  101.6  ,                                                                                                         ,
,  WPUID51  , 2016 ,  M01   ,  102.0  ,                                                                                                         ,
,  WPUID51  , 2015 ,  M12   ,  102.0  ,                                                                                                         ,
,  WPUID51  , 2015 ,  M11   ,  103.4  ,                                                                                                         ,
,  WPUID51  , 2015 ,  M10   ,  104.6  ,                                                                                                         ,
,  WPUID51  , 2015 ,  M09   ,  105.8  ,                                                                                                         ,
,  WPUID51  , 2015 ,  M08   ,  107.7  ,                                                                                                         ,
,  WPUID51  , 2015 ,  M07   ,  109.0  ,                                                                                                         ,
,  WPUID51  , 2015 ,  M06   ,  109.1  ,                                                                                                         ,
,  WPUID51  , 2015 ,  M05   ,  108.3  ,                                                                                                         ,
,  WPUID51  , 2015 ,  M04   ,  107.6  ,                                                                                                         ,
,  WPUID51  , 2015 ,  M03   ,  107.8  ,                                                                                                         ,
,  WPUID51  , 2015 ,  M02   ,  107.7  ,                                                                                                         ,
,  WPUID51  , 2015 ,  M01   ,  108.8  ,                                                                                                         ,
+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
