+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
, series id , year , period ,  value  ,                                                footnotes                                                ,
+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
,  WPUID53  , 2023 ,  M01   , 148.869 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID53  , 2022 ,  M12   , 148.022 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID53  , 2022 ,  M11   , 151.435 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID53  , 2022 ,  M10   , 151.994 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID53  , 2022 ,  M09   , 151.766 ,                                                                                                         ,
,  WPUID53  , 2022 ,  M08   , 152.683 ,                                                                                                         ,
,  WPUID53  , 2022 ,  M07   , 155.712 ,                                                                                                         ,
,  WPUID53  , 2022 ,  M06   , 158.227 ,                                                                                                         ,
,  WPUID53  , 2022 ,  M05   , 157.394 ,                                                                                                         ,
,  WPUID53  , 2022 ,  M04   , 154.035 ,                                                                                                         ,
,  WPUID53  , 2022 ,  M03   , 150.181 ,                                                                                                         ,
,  WPUID53  , 2022 ,  M02   , 145.324 ,                                                                                                         ,
,  WPUID53  , 2022 ,  M01   , 143.433 ,                                                                                                         ,
,  WPUID53  , 2021 ,  M12   , 140.824 ,                                                                                                         ,
,  WPUID53  , 2021 ,  M11   , 140.015 ,                                                                                                         ,
,  WPUID53  , 2021 ,  M10   , 138.774 ,                                                                                                         ,
,  WPUID53  , 2021 ,  M09   , 137.026 ,                                                                                                         ,
,  WPUID53  , 2021 ,  M08   , 136.229 ,                                                                                                         ,
,  WPUID53  , 2021 ,  M07   , 135.309 ,                                                                                                         ,
,  WPUID53  , 2021 ,  M06   ,  134.3  ,                                                                                                         ,
,  WPUID53  , 2021 ,  M05   ,  132.1  ,                                                                                                         ,
,  WPUID53  , 2021 ,  M04   ,  128.6  ,                                                                                                         ,
,  WPUID53  , 2021 ,  M03   ,  125.1  ,                                                                                                         ,
,  WPUID53  , 2021 ,  M02   ,  122.0  ,                                                                                                         ,
,  WPUID53  , 2021 ,  M01   ,  119.4  ,                                                                                                         ,
,  WPUID53  , 2020 ,  M12   ,  116.6  ,                                                                                                         ,
,  WPUID53  , 2020 ,  M11   ,  115.7  ,                                                                                                         ,
,  WPUID53  , 2020 ,  M10   ,  114.9  ,                                                                                                         ,
,  WPUID53  , 2020 ,  M09   ,  113.6  ,                                                                                                         ,
,  WPUID53  , 2020 ,  M08   ,  113.1  ,                                                                                                         ,
,  WPUID53  , 2020 ,  M07   ,  112.4  ,                                                                                                         ,
,  WPUID53  , 2020 ,  M06   ,  111.2  ,                                                                                                         ,
,  WPUID53  , 2020 ,  M05   ,  109.3  ,                                                                                                         ,
,  WPUID53  , 2020 ,  M04   ,  107.9  ,                                                                                                         ,
,  WPUID53  , 2020 ,  M03   ,  114.0  ,                                                                                                         ,
,  WPUID53  , 2020 ,  M02   ,  115.6  ,                                                                                                         ,
,  WPUID53  , 2020 ,  M01   ,  117.2  ,                                                                                                         ,
,  WPUID53  , 2019 ,  M12   ,  116.7  ,                                                                                                         ,
,  WPUID53  , 2019 ,  M11   ,  116.7  ,                                                                                                         ,
,  WPUID53  , 2019 ,  M10   ,  116.8  ,                                                                                                         ,
,  WPUID53  , 2019 ,  M09   ,  116.4  ,                                                                                                         ,
,  WPUID53  , 2019 ,  M08   ,  117.3  ,                                                                                                         ,
,  WPUID53  , 2019 ,  M07   ,  117.7  ,                                                                                                         ,
,  WPUID53  , 2019 ,  M06   ,  117.9  ,                                                                                                         ,
,  WPUID53  , 2019 ,  M05   ,  118.9  ,                                                                                                         ,
,  WPUID53  , 2019 ,  M04   ,  118.9  ,                                                                                                         ,
,  WPUID53  , 2019 ,  M03   ,  117.3  ,                                                                                                         ,
,  WPUID53  , 2019 ,  M02   ,  116.2  ,                                                                                                         ,
,  WPUID53  , 2019 ,  M01   ,  116.0  ,                                                                                                         ,
,  WPUID53  , 2018 ,  M12   ,  115.8  ,                                                                                                         ,
,  WPUID53  , 2018 ,  M11   ,  117.6  ,                                                                                                         ,
,  WPUID53  , 2018 ,  M10   ,  118.7  ,                                                                                                         ,
,  WPUID53  , 2018 ,  M09   ,  117.5  ,                                                                                                         ,
,  WPUID53  , 2018 ,  M08   ,  117.3  ,                                                                                                         ,
,  WPUID53  , 2018 ,  M07   ,  118.4  ,                                                                                                         ,
,  WPUID53  , 2018 ,  M06   ,  118.5  ,                                                                                                         ,
,  WPUID53  , 2018 ,  M05   ,  117.7  ,                                                                                                         ,
,  WPUID53  , 2018 ,  M04   ,  116.1  ,                                                                                                         ,
,  WPUID53  , 2018 ,  M03   ,  115.7  ,                                                                                                         ,
,  WPUID53  , 2018 ,  M02   ,  115.4  ,                                                                                                         ,
,  WPUID53  , 2018 ,  M01   ,  114.4  ,                                                                                                         ,
,  WPUID53  , 2017 ,  M12   ,  113.5  ,                                                                                                         ,
,  WPUID53  , 2017 ,  M11   ,  113.5  ,                                                                                                         ,
,  WPUID53  , 2017 ,  M10   ,  112.5  ,                                                                                                         ,
,  WPUID53  , 2017 ,  M09   ,  112.3  ,                                                                                                         ,
,  WPUID53  , 2017 ,  M08   ,  112.1  ,                                                                                                         ,
,  WPUID53  , 2017 ,  M07   ,  112.2  ,                                                                                                         ,
,  WPUID53  , 2017 ,  M06   ,  112.4  ,                                                                                                         ,
,  WPUID53  , 2017 ,  M05   ,  111.8  ,                                                                                                         ,
,  WPUID53  , 2017 ,  M04   ,  111.4  ,                                                                                                         ,
,  WPUID53  , 2017 ,  M03   ,  111.1  ,                                                                                                         ,
,  WPUID53  , 2017 ,  M02   ,  110.6  ,                                                                                                         ,
,  WPUID53  , 2017 ,  M01   ,  109.7  ,                                                                                                         ,
,  WPUID53  , 2016 ,  M12   ,  108.3  ,                                                                                                         ,
,  WPUID53  , 2016 ,  M11   ,  107.4  ,                                                                                                         ,
,  WPUID53  , 2016 ,  M10   ,  106.6  ,                                                                                                         ,
,  WPUID53  , 2016 ,  M09   ,  107.4  ,                                                                                                         ,
,  WPUID53  , 2016 ,  M08   ,  107.7  ,                                                                                                         ,
,  WPUID53  , 2016 ,  M07   ,  108.6  ,                                                                                                         ,
,  WPUID53  , 2016 ,  M06   ,  108.5  ,                                                                                                         ,
,  WPUID53  , 2016 ,  M05   ,  107.4  ,                                                                                                         ,
,  WPUID53  , 2016 ,  M04   ,  106.7  ,                                                                                                         ,
