+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
, series id , year , period ,  value  ,                                                footnotes                                                ,
+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
,  WPUID52  , 2023 ,  M01   , 139.144 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID52  , 2022 ,  M12   , 140.724 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID52  , 2022 ,  M11   , 139.267 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID52  , 2022 ,  M10   , 140.512 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUID52  , 2022 ,  M09   , 147.638 ,                                                                                                         ,
,  WPUID52  , 2022 ,  M08   , 150.754 ,                                                                                                         ,
,  WPUID52  , 2022 ,  M07   , 146.377 ,                                                                                                         ,
,  WPUID52  , 2022 ,  M06   , 152.937 ,                                                                                                         ,
,  WPUID52  , 2022 ,  M05   , 148.512 ,                                                                                                         ,
,  WPUID52  , 2022 ,  M04   , 143.445 ,                                                                                                         ,
,  WPUID52  , 2022 ,  M03   , 139.498 ,                                                                                                         ,
,  WPUID52  , 2022 ,  M02   , 138.305 ,                                                                                                         ,
,  WPUID52  , 2022 ,  M01   , 132.556 ,                                                                                                         ,
,  WPUID52  , 2021 ,  M12   , 130.492 ,                                                                                                         ,
,  WPUID52  , 2021 ,  M11   , 133.607 ,                                                                                                         ,
,  WPUID52  , 2021 ,  M10   , 131.915 ,                                                                                                         ,
,  WPUID52  , 2021 ,  M09   , 127.207 ,                                                                                                         ,
,  WPUID52  , 2021 ,  M08   , 124.782 ,                                                                                                         ,
,  WPUID52  , 2021 ,  M07   , 123.956 ,                                                                                                         ,
,  WPUID52  , 2021 ,  M06   ,  121.3  ,                                                                                                         ,
,  WPUID52  , 2021 ,  M05   ,  118.8  ,                                                                                                         ,
,  WPUID52  , 2021 ,  M04   ,  115.5  ,                                                                                                         ,
,  WPUID52  , 2021 ,  M03   ,  114.8  ,                                                                                                         ,
,  WPUID52  , 2021 ,  M02   ,  116.4  ,                                                                                                         ,
,  WPUID52  , 2021 ,  M01   ,  110.3  ,                                                                                                         ,
,  WPUID52  , 2020 ,  M12   ,  107.3  ,                                                                                                         ,
,  WPUID52  , 2020 ,  M11   ,  105.5  ,                                                                                                         ,
,  WPUID52  , 2020 ,  M10   ,  103.6  ,                                                                                                         ,
,  WPUID52  , 2020 ,  M09   ,  103.0  ,                                                                                                         ,
,  WPUID52  , 2020 ,  M08   ,  101.5  ,                                                                                                         ,
,  WPUID52  , 2020 ,  M07   ,  100.1  ,                                                                                                         ,
,  WPUID52  , 2020 ,  M06   ,   99.4  ,                                                                                                         ,
,  WPUID52  , 2020 ,  M05   ,   97.6  ,                                                                                                         ,
,  WPUID52  , 2020 ,  M04   ,   96.2  ,                                                                                                         ,
,  WPUID52  , 2020 ,  M03   ,  100.7  ,                                                                                                         ,
,  WPUID52  , 2020 ,  M02   ,  103.4  ,                                                                                                         ,
,  WPUID52  , 2020 ,  M01   ,  105.4  ,                                                                                                         ,
,  WPUID52  , 2019 ,  M12   ,  105.8  ,                                                                                                         ,
,  WPUID52  , 2019 ,  M11   ,  105.5  ,                                                                                                         ,
