+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
, series id , year , period ,  value  ,                                                footnotes                                                ,
,   WPUFD4  , 2016 ,  M07   ,  110.8  ,                                                                                                         ,
,   WPUFD4  , 2016 ,  M06   ,  110.8  ,                                                                                                         ,
,   WPUFD4  , 2016 ,  M05   ,  110.2  ,                                                                                                         ,
,   WPUFD4  , 2016 ,  M04   ,  110.0  ,                                                                                                         ,
,   WPUFD4  , 2016 ,  M03   ,  109.7  ,                                                                                                         ,
,   WPUFD4  , 2016 ,  M02   ,  109.6  ,                                                                                                         ,
,   WPUFD4  , 2016 ,  M01   ,  109.7  ,                                                                                                         ,
,   WPUFD4  , 2015 ,  M12   ,  109.1  ,                                                                                                         ,
,   WPUFD4  , 2015 ,  M11   ,  109.4  ,                                                                                                         ,
,   WPUFD4  , 2015 ,  M10   ,  109.8  ,                                                                                                         ,
,   WPUFD4  , 2015 ,  M09   ,  109.9  ,                                                                                                         ,
,   WPUFD4  , 2015 ,  M08   ,  110.5  ,                                                                                                         ,
,   WPUFD4  , 2015 ,  M07   ,  110.8  ,                                                                                                         ,
,   WPUFD4  , 2015 ,  M06   ,  110.6  ,                                                                                                         ,
,   WPUFD4  , 2015 ,  M05   ,  110.2  ,                                                                                                         ,
,   WPUFD4  , 2015 ,  M04   ,  109.8  ,                                                                                                         ,
,   WPUFD4  , 2015 ,  M03   ,  109.8  ,                                                                                                         ,
,   WPUFD4  , 2015 ,  M02   ,  109.5  ,                                                                                                         ,
,   WPUFD4  , 2015 ,  M01   ,  109.7  ,                                                                                                         ,
+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
