+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
, series id , year , period ,  value  ,                                                footnotes                                                ,
+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
,  WPUFD42  , 2023 ,  M01   , 138.761 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUFD42  , 2022 ,  M12   , 137.984 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUFD42  , 2022 ,  M11   , 137.767 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUFD42  , 2022 ,  M10   , 137.755 , Preliminary. All indexes are subject to monthly revisions up to four months after original publication. ,
,  WPUFD42  , 2022 ,  M09   , 137.124 ,                                                                                                         ,
,  WPUFD42  , 2022 ,  M08   , 136.921 ,                                                                                                         ,
,  WPUFD42  , 2022 ,  M07   , 136.350 ,                                                                                                         ,
,  WPUFD42  , 2022 ,  M06   , 136.005 ,                                                                                                         ,
,  WPUFD42  , 2022 ,  M05   , 135.589 ,                                                                                                         ,
,  WPUFD42  , 2022 ,  M04   , 135.298 ,                                                                                                         ,
,  WPUFD42  , 2022 ,  M03   , 135.084 ,                                                                                                         ,
,  WPUFD42  , 2022 ,  M02   , 133.103 ,                                                                                                         ,
,  WPUFD42  , 2022 ,  M01   , 132.170 ,                                                                                                         ,
,  WPUFD42  , 2021 ,  M12   , 130.896 ,                                                                                                         ,
,  WPUFD42  , 2021 ,  M11   , 130.138 ,                                                                                                         ,
,  WPUFD42  , 2021 ,  M10   , 129.119 ,                                                                                                         ,
,  WPUFD42  , 2021 ,  M09   , 128.541 ,                                                                                                         ,
,  WPUFD42  , 2021 ,  M08   , 128.528 ,                                                                                                         ,
,  WPUFD42  , 2021 ,  M07   , 127.534 ,                                                                                                         ,
,  WPUFD42  , 2021 ,  M06   ,  126.2  ,                                                                                                         ,
,  WPUFD42  , 2021 ,  M05   ,  125.5  ,                                                                                                         ,
,  WPUFD42  , 2021 ,  M04   ,  124.9  ,                                                                                                         ,
,  WPUFD42  , 2021 ,  M03   ,  123.5  ,                                                                                                         ,
,  WPUFD42  , 2021 ,  M02   ,  122.8  ,                                                                                                         ,
,  WPUFD42  , 2021 ,  M01   ,  122.2  ,                                                                                                         ,
,  WPUFD42  , 2020 ,  M12   ,  120.8  ,                                                                                                         ,
,  WPUFD42  , 2020 ,  M11   ,  121.1  ,                                                                                                         ,
