+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
, series id , year , period ,  value  ,                                                footnotes                                                ,
,  WPUID63  , 2016 ,  M02   ,  111.7  ,                                                                                                         ,
,  WPUID63  , 2016 ,  M01   ,  111.5  ,                                                                                                         ,
,  WPUID63  , 2015 ,  M12   ,  109.9  ,                                                                                                         ,
,  WPUID63  , 2015 ,  M11   ,  109.8  ,                                                                                                         ,
,  WPUID63  , 2015 ,  M10   ,  109.7  ,                                                                                                         ,
,  WPUID63  , 2015 ,  M09   ,  110.2  ,                                                                                                         ,
,  WPUID63  , 2015 ,  M08   ,  110.9  ,                                                                                                         ,
,  WPUID63  , 2015 ,  M07   ,  110.7  ,                                                                                                         ,
,  WPUID63  , 2015 ,  M06   ,  110.5  ,                                                                                                         ,
,  WPUID63  , 2015 ,  M05   ,  110.4  ,                                                                                                         ,
,  WPUID63  , 2015 ,  M04   ,  110.6  ,                                                                                                         ,
,  WPUID63  , 2015 ,  M03   ,  110.0  ,                                                                                                         ,
,  WPUID63  , 2015 ,  M02   ,  109.6  ,                                                                                                         ,
,  WPUID63  , 2015 ,  M01   ,  109.8  ,                                                                                                         ,
+-----------+------+--------+---------+---------------------------------------------------------------------------------------------------------+
